conv_id,msg_idx,latency_ms
conv_08,10,0.007583
conv_08,11,0.026875
conv_08,12,0.011583
conv_08,13,0.018666
conv_08,14,0.023000
conv_08,15,0.009375
conv_08,16,0.012542
conv_08,17,0.019084
conv_08,18,0.031917
conv_08,19,0.012041
conv_08,20,0.006125
conv_08,21,0.036125
conv_08,22,0.044500
conv_08,23,0.010250
conv_08,24,0.014959
conv_08,25,0.018584
conv_08,26,0.031958
conv_08,27,0.045500
conv_08,28,0.039958
conv_08,29,0.018041
conv_08,30,0.026041
conv_08,31,0.408750
conv_08,32,0.060333
conv_08,33,0.038500
conv_08,34,0.035084
conv_08,35,0.042000
conv_08,36,0.097000
conv_08,37,0.100833
conv_08,38,0.091375
conv_08,39,0.094709
conv_08,40,0.091417
conv_08,41,0.094833
conv_08,42,0.093834
conv_08,43,0.100250
conv_08,44,0.102958
conv_08,45,0.323916
conv_08,46,0.170875
conv_08,47,0.159083
conv_08,48,0.147334
conv_08,49,0.115542
conv_08,50,0.116667
conv_08,51,0.103709
conv_08,52,0.120625
conv_08,53,0.121625
conv_08,54,0.108458
conv_08,55,0.117750
conv_08,56,0.335750
conv_08,57,0.148084
conv_08,58,0.131375
conv_08,59,0.158292
conv_08,60,0.180459
conv_08,61,0.123041
conv_08,62,0.112917
conv_08,63,0.148541
conv_08,64,0.126167
conv_08,65,0.298959
conv_08,66,0.164834
conv_08,67,0.139916
conv_08,68,0.193666
conv_08,69,0.174125
conv_08,70,0.147125
conv_08,71,0.158834
conv_08,72,0.163917
conv_08,73,0.318916
conv_08,74,0.161000
conv_08,75,0.197209
conv_08,76,0.175000
conv_08,77,0.166917
conv_08,78,0.167375
conv_08,79,0.299125
conv_08,80,0.188458
conv_08,81,0.192250
conv_08,82,0.179833
conv_08,83,0.181875
conv_08,84,0.180459
conv_08,85,0.368916
conv_08,86,0.209583
conv_08,87,0.308875
conv_08,88,0.250250
conv_08,89,0.346541
conv_08,90,0.210167
conv_08,91,0.159625
conv_08,92,0.171250
conv_08,93,0.188625
conv_08,94,0.178541
conv_08,95,0.297041
conv_08,96,0.178416
conv_08,97,0.163416
conv_08,98,0.177250
conv_08,99,0.182917
conv_08,100,0.248083
conv_08,101,0.184875
conv_08,102,0.187541
conv_08,103,0.179291
conv_08,104,0.199084
conv_08,105,0.266458
conv_08,106,0.189167
conv_08,107,0.202042
conv_08,108,0.198625
conv_08,109,0.175250
conv_08,110,0.306333
conv_08,111,0.206459
conv_08,112,0.206917
conv_08,113,0.229292
conv_08,114,0.239625
conv_08,115,0.230417
conv_08,116,0.246792
conv_08,117,0.256458
conv_08,118,0.309584
conv_08,119,0.244250
conv_09,0,0.071125
conv_09,1,0.021667
conv_09,2,0.018375
conv_09,3,0.045292
conv_09,4,0.040958
conv_09,5,0.050584
conv_09,6,0.035792
conv_09,7,0.041083
conv_09,8,0.022708
conv_09,9,0.040750
conv_09,10,0.041042
conv_09,11,0.024750
conv_09,12,0.042041
conv_09,13,0.039667
conv_09,14,0.046791
conv_09,15,0.030333
conv_09,16,0.040250
conv_09,17,0.050833
conv_09,18,0.009875
conv_09,19,0.014250
conv_09,20,0.022458
conv_09,21,0.317125
conv_09,22,0.056584
conv_09,23,0.041208
conv_09,24,0.041834
conv_09,25,0.037750
conv_09,26,0.024375
conv_09,27,0.029459
conv_09,28,0.023084
conv_09,29,0.037084
conv_09,30,0.075459
conv_09,31,0.051667
conv_09,32,0.065166
conv_09,33,0.076875
conv_09,34,0.079333
conv_09,35,0.086833
