conv_id,msg_idx,latency_ms,is_merge
conv_05,110,2426.9877,true
conv_05,111,2088.4510,true
conv_05,112,2755.5675,true
conv_05,113,2407.6590,true
conv_05,114,1180.4654,true
conv_05,115,2863.9490,true
conv_05,116,2765.1279,true
conv_05,117,2607.1541,true
conv_05,118,2819.4260,true
conv_05,119,2117.3017,true
conv_06,0,0.0469,false
conv_06,1,0.0124,false
conv_06,2,0.0107,false
conv_06,3,0.0076,false
conv_06,4,0.0129,false
conv_06,5,0.0087,false
conv_06,6,0.0148,false
conv_06,7,0.0141,false
conv_06,8,0.0233,false
conv_06,9,0.0282,false
conv_06,10,0.0242,false
conv_06,11,0.0142,false
conv_06,12,0.0039,false
conv_06,13,0.0222,false
conv_06,14,0.0268,false
conv_06,15,0.0360,false
conv_06,16,0.0114,false
conv_06,17,0.0255,false
conv_06,18,0.0064,false
conv_06,19,0.0239,false
conv_06,20,0.0127,false
conv_06,21,0.0077,false
conv_06,22,0.0282,false
conv_06,23,0.2847,false
conv_06,24,0.0149,false
conv_06,25,0.0135,false
conv_06,26,0.0273,false
conv_06,27,0.0271,false
conv_06,28,0.0118,false
conv_06,29,0.0316,false
conv_06,30,0.0392,false
conv_06,31,0.0353,false
conv_06,32,0.0268,false
conv_06,33,0.0478,false
conv_06,34,0.0390,false
conv_06,35,0.0158,false
conv_06,36,0.0345,false
conv_06,37,0.0306,false
conv_06,38,0.0423,false
conv_06,39,0.0504,false
conv_06,40,1738.8498,true
conv_06,41,1333.1140,true
conv_06,42,1376.3943,true
conv_06,43,1081.3235,true
conv_06,44,1065.6927,true
conv_06,45,1391.4694,true
conv_06,46,1532.1997,true
conv_06,47,1133.6042,true
conv_06,48,1967.7670,true
conv_06,49,1376.7743,true
conv_06,50,1669.1245,true
conv_06,51,1997.7843,true
conv_06,52,1690.2725,true
conv_06,53,1738.9932,true
conv_06,54,1742.0522,true
conv_06,55,2507.2477,true
conv_06,56,2304.7412,true
conv_06,57,1442.1339,true
conv_06,58,2041.0990,true
conv_06,59,1738.1227,true
conv_06,60,2358.9863,true
conv_06,61,1689.2352,true
conv_06,62,1278.2344,true
conv_06,63,1944.3725,true
conv_06,64,1874.8945,true
conv_06,65,1813.1281,true
conv_06,66,2604.2548,true
conv_06,67,2694.2342,true
conv_06,68,1866.7272,true
conv_06,69,1827.1949,true
conv_06,70,2169.2403,true
conv_06,71,1954.3316,true
conv_06,72,3061.1620,true
conv_06,73,1903.6467,true
conv_06,74,2183.4482,true
conv_06,75,1663.9315,true
conv_06,76,2032.0082,true
conv_06,77,2241.8883,true
conv_06,78,2342.1159,true
conv_06,79,1971.8364,true
conv_06,80,921.7596,true
conv_06,81,2558.1897,true
conv_06,82,3391.4140,true
conv_06,83,2343.8997,true
conv_06,84,2252.3262,true
conv_06,85,1963.3724,true
conv_06,86,2133.1866,true
conv_06,87,2112.7216,true
conv_06,88,2782.5134,true
conv_06,89,2244.2560,true
conv_06,90,2281.1432,true
conv_06,91,2458.9437,true
conv_06,92,2390.4772,true
conv_06,93,2281.3038,true
conv_06,94,2905.2044,true
conv_06,95,3757.8988,true
conv_06,96,2267.6041,true
conv_06,97,2334.4343,true
conv_06,98,2851.9994,true
conv_06,99,2011.4142,true
conv_06,100,2941.6786,true
conv_06,101,2061.8002,true
conv_06,102,1945.0805,true
conv_06,103,2332.6389,true
conv_06,104,2353.3575,true
conv_06,105,2286.0663,true
conv_06,106,2776.3995,true
conv_06,107,3092.2563,true
conv_06,108,2419.6807,true
conv_06,109,2461.3145,true
conv_06,110,3149.4241,true
conv_06,111,2666.7014,true
conv_06,112,3462.7409,true
conv_06,113,3168.9405,true
conv_06,114,2034.7928,true
conv_06,115,2779.6405,true
conv_06,116,3724.2093,true
conv_06,117,2970.1766,true
conv_06,118,3768.3490,true
conv_06,119,4212.7727,true
conv_07,0,0.0674,false
conv_07,1,0.0082,false
conv_07,2,0.0410,false
conv_07,3,0.0500,false
conv_07,4,0.0345,false
conv_07,5,0.0078,false
conv_07,6,0.0360,false
conv_07,7,0.0312,false
conv_07,8,0.0324,false
conv_07,9,0.0336,false
conv_07,10,0.0364,false
conv_07,11,0.0097,false
conv_07,12,0.0323,false
conv_07,13,0.0358,false
conv_07,14,0.0330,false
conv_07,15,0.8387,false
conv_07,16,0.0538,false
conv_07,17,0.0162,false
conv_07,18,0.0278,false
conv_07,19,0.0134,false
conv_07,20,0.0220,false
conv_07,21,0.0342,false
conv_07,22,0.0165,false
conv_07,23,0.0092,false
conv_07,24,0.0339,false
conv_07,25,0.0385,false
conv_07,26,0.0070,false
conv_07,27,0.0282,false
conv_07,28,0.0267,false
conv_07,29,0.0177,false
conv_07,30,0.0462,false
conv_07,31,0.0280,false
conv_07,32,0.0307,false
conv_07,33,0.0550,false
conv_07,34,0.0471,false
conv_07,35,0.0541,false
conv_07,36,0.0308,false
conv_07,37,0.0408,false
conv_07,38,0.0469,false
conv_07,39,0.3283,false
conv_07,40,1505.7336,true
conv_07,41,1363.7992,true
conv_07,42,1672.2863,true
conv_07,43,1824.5705,true
conv_07,44,1978.6015,true
conv_07,45,1994.4185,true
conv_07,46,1773.5470,true
conv_07,47,1718.8855,true
conv_07,48,2496.8958,true
conv_07,49,1708.4486,true
conv_07,50,1072.7032,true
conv_07,51,2186.0499,true
